# created by swatp-ghg
date        ch4_obd            ch4prods          ch4eps            ch4ebls            ch4e_tot          cont       
2022-08-23   6.5821000000E-01  1.2294189636E+00  6.3980894041E-01   1.6453080650E-03  6.4145424848E-01  irr_2wk    
2022-08-26   4.5859000000E-01  1.1896096835E+00  6.1909156569E-01   1.5918507298E-03  6.2068341642E-01  irr_2wk    
2022-08-30   2.9083000000E-01  8.2832349837E-01  4.3107255987E-01   1.1067026278E-03  4.3217926250E-01  irr_2wk    
2022-09-02   2.7884000000E-01  7.7558195717E-01  4.0362503337E-01   1.0358793866E-03  4.0466091276E-01  irr_2wk    
2022-09-07   2.3624000000E-01  7.5048659904E-01  3.9056501480E-01   1.0021804359E-03  3.9156719524E-01  irr_2wk    
2022-09-16   2.7154000000E-01  8.9441427843E-01  4.6546723998E-01   1.1954517077E-03  4.6666269168E-01  irr_2wk    
2022-09-19   2.6828000000E-01  9.3452610412E-01  4.8634206414E-01   1.2493153119E-03  4.8759137945E-01  irr_2wk    
2022-06-03   8.7270000000E-02  4.1799573112E-01  2.1753154436E-01   5.5569972293E-04  2.1808724409E-01  irr_3wk    
2022-06-10   3.4742000000E-01  2.1267634781E-01  1.1068011212E-01   2.7998945992E-04  1.1096010158E-01  irr_3wk    
2022-06-17   2.5937000000E-01  8.1929005849E-01  4.2637141586E-01   1.0945721993E-03  4.2746598806E-01  irr_3wk    
2022-06-22   4.6943000000E-01  1.0202367023E+00  5.3094720578E-01   1.3644105903E-03  5.3231161637E-01  irr_3wk    
2022-06-24   4.4561000000E-01  9.9809774624E-01  5.1942574528E-01   1.3346816027E-03  5.2076042689E-01  irr_3wk    
2022-06-29   8.2725000000E-01  1.1016684801E+00  5.7332558208E-01   1.4737601145E-03  5.7479934219E-01  irr_3wk    
2022-07-05   1.3656000000E-01  1.3130839498E+00  6.8334951341E-01   1.7576564218E-03  6.8510716984E-01  irr_3wk    
2022-07-08   3.6840000000E-02  9.6868168388E-01  5.0411716436E-01   1.2951806546E-03  5.0541234502E-01  irr_3wk    
2022-07-12   2.5940000000E-01  1.5144344825E+00  7.8813549346E-01   2.0280371693E-03  7.9016353063E-01  irr_3wk    
2022-07-15   2.8992000000E-01  1.1261083028E+00  5.8604444973E-01   1.5065787887E-03  5.8755102851E-01  irr_3wk    
2022-07-19   2.8459000000E-01  1.1016684801E+00  5.7332558208E-01   1.4737601145E-03  5.7479934219E-01  irr_3wk    
2022-07-22   3.1753000000E-01  1.0777597986E+00  5.6088312867E-01   1.4416546758E-03  5.6232478335E-01  irr_3wk    
2022-07-26   4.3585000000E-01  1.0896484741E+00  5.6707018214E-01   1.4576192175E-03  5.6852780135E-01  irr_3wk    
2022-08-01   5.1456000000E-01  8.3517331158E-02  4.3463731027E-02   1.0655008037E-04  4.3570281107E-02  irr_3wk    
2022-08-04   5.0135000000E-01  1.2845806574E+00  6.6851595235E-01   1.7193811742E-03  6.7023533352E-01  irr_3wk    
2022-08-05   5.1766000000E-01  1.3275721787E+00  6.9088941530E-01   1.7771117374E-03  6.9266652704E-01  irr_3wk    
2022-08-09   5.9430000000E-01  1.2987540192E+00  6.7589199246E-01   1.7384136749E-03  6.7763040614E-01  irr_3wk    
2022-08-12   5.2389000000E-01  1.1766288322E+00  6.1233612680E-01   1.5744195752E-03  6.1391054638E-01  irr_3wk    
2022-08-16   6.4631000000E-01  1.2845806574E+00  6.6851595235E-01   1.7193811742E-03  6.7023533352E-01  irr_3wk    
2022-08-19   5.5986000000E-01  1.1896096835E+00  6.1909156569E-01   1.5918507298E-03  6.2068341642E-01  irr_3wk    
2022-08-23   5.8758000000E-01  1.1896096835E+00  6.1909156569E-01   1.5918507298E-03  6.2068341642E-01  irr_3wk    
2022-08-26   4.0751000000E-01  9.2433229501E-01  4.8103704576E-01   1.2356266979E-03  4.8227267246E-01  irr_3wk    
2022-08-30   3.8024000000E-01  7.3686519644E-01  3.8347622292E-01   9.8388912585E-04  3.8446011205E-01  irr_3wk    
2022-09-02   2.8171000000E-01  7.5875998830E-01  3.9487061653E-01   1.0132902410E-03  3.9588390677E-01  irr_3wk    
2022-09-07   6.1192000000E-01  7.5875998830E-01  3.9487061653E-01   1.0132902410E-03  3.9588390677E-01  irr_3wk    
2022-09-16   4.7348000000E-01  8.9441427843E-01  4.6546723998E-01   1.1954517077E-03  4.6666269168E-01  irr_3wk    
2022-09-19   4.6857000000E-01  8.9441427843E-01  4.6546723998E-01   1.1954517077E-03  4.6666269168E-01  irr_3wk    
2022-05-27  -1.4200000000E-03  4.7888341119E-01  2.4921844949E-01   6.3746189274E-04  2.4985591139E-01  irr_4wk    
2022-06-03   4.8100000000E-03  6.7256497635E-01  3.5001337836E-01   8.9754447438E-04  3.5091092283E-01  irr_4wk    
2022-06-10   4.7630000000E-02  7.7558195717E-01  4.0362503337E-01   1.0358793866E-03  4.0466091276E-01  irr_4wk    
2022-06-17   7.4210000000E-02  8.5602697734E-01  4.4548988550E-01   1.1439038572E-03  4.4663378935E-01  irr_4wk    
2022-06-22   1.7772000000E-01  1.0543707153E+00  5.4871108231E-01   1.4102469723E-03  5.5012132928E-01  irr_4wk    
2022-06-24   3.7506000000E-01  9.9809774624E-01  5.1942574528E-01   1.3346816027E-03  5.2076042689E-01  irr_4wk    
2022-06-29   5.4060000000E-01  1.1016684801E+00  5.7332558208E-01   1.4737601145E-03  5.7479934219E-01  irr_4wk    
2022-07-01   1.9861000000E-01  1.3130839498E+00  6.8334951341E-01   1.7576564218E-03  6.8510716984E-01  irr_4wk    
2022-07-05   1.7326000000E-01  9.2052918809E-02  4.7905784918E-02   1.1801197490E-04  4.8023796892E-02  irr_4wk    
2022-07-08   1.4849000000E-01  3.0664135373E-03  1.5958097721E-03  -1.4823094575E-06  1.5943274626E-03  irr_4wk    
2022-07-12   1.4279000000E-01  2.6793006484E-03  1.3943501439E-03  -2.0021385875E-06  1.3923480053E-03  irr_4wk    
2022-07-15   1.1699000000E-01  1.7267122835E-03  8.9860819554E-04  -3.2813085539E-06  8.9532688699E-04  irr_4wk    
2022-07-19   1.0174000000E-01  1.2208199522E-01  6.3533387978E-02   1.5833610027E-04  6.3691724079E-02  irr_4wk    
2022-07-26   2.1412000000E-01  1.0777597986E+00  5.6088312867E-01   1.4416546758E-03  5.6232478335E-01  irr_4wk    
